,Unnamed: 0,site_code,lon,lat,site_name,city,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
0,0,1001A,116.3621,39.8784,万寿西宫,北京,35.8,53.55,62.38,87.27,107.94,127.93,110.24,93.73,75.98,41.84,25.96,29.18
1,1,1002A,116.2202,40.2915,定陵(对照点),北京,50.0,67.42,75.68,98.17,119.51,134.47,108.68,96.53,87.96,55.39,36.93,43.63
2,2,1003A,116.4174,39.9289,东四,北京,36.3,54.43,62.74,89.93,111.5,132.78,119.26,101.53,83.29,42.81,25.45,29.24
3,3,1004A,116.4072,39.8863,天坛,北京,36.28,54.71,63.56,88.0,109.49,126.92,112.0,94.33,74.56,44.95,26.5,28.58
4,4,1005A,116.462,39.9365,农展馆,北京,37.97,56.28,64.2,89.21,112.16,135.41,118.79,101.5,81.08,42.4,26.99,29.82
5,5,1006A,116.3392,39.9295,官园,北京,35.55,53.73,61.67,89.3,110.41,131.99,118.8,99.85,80.07,44.58,26.61,29.44
6,6,1007A,116.2878,39.9611,海淀万柳,北京,33.27,50.59,58.49,83.55,107.27,127.31,110.37,92.58,72.14,38.35,24.7,28.76
7,7,1009A,116.6275,40.3275,怀柔镇,北京,42.92,60.95,70.13,93.62,116.78,132.93,113.01,91.47,82.75,48.58,33.47,37.7
8,8,1010A,116.2296,40.217,昌平镇,北京,39.49,56.92,65.09,88.36,110.52,126.69,113.39,95.69,81.28,43.85,28.3,32.97
9,9,1011A,116.3966,39.9821,奥体中心,北京,38.19,57.17,65.91,88.21,112.78,132.54,119.96,96.89,76.9,42.93,26.75,30.18
10,10,1012A,116.184,39.9136,古城,北京,37.02,53.59,61.91,87.66,111.18,131.61,117.38,98.12,78.92,45.05,26.69,29.74
11,11,1015A,117.1444,39.1661,勤俭道,天津,33.33,52.19,61.71,85.66,111.86,136.22,110.86,92.47,86.53,49.57,29.82,26.39
12,12,1017A,117.237,39.1082,大直沽八号路,天津,36.62,56.67,63.59,90.35,113.52,133.28,111.56,97.09,89.9,53.01,30.71,28.26
13,13,1018A,117.202,39.0927,前进道,天津,36.68,57.68,65.24,87.17,112.38,132.47,114.93,94.37,86.73,51.76,31.22,30.25
14,14,1021A,117.307,39.0877,跃进路,天津,32.9,53.58,59.27,82.03,107.79,125.62,107.76,93.24,83.19,47.87,28.39,26.81
15,15,1023A,117.707,39.0343,第四大街,天津,30.75,50.0,56.21,75.63,100.43,115.64,96.41,86.92,84.18,51.44,28.58,23.69
16,16,1024A,117.457,38.8394,永明路,天津,31.14,50.18,62.5,87.27,109.39,137.01,115.06,99.05,86.79,50.99,31.82,24.38
17,17,1026A,117.764,39.1587,汉北路,天津,30.54,47.09,60.06,82.11,105.83,129.19,112.82,98.93,88.27,49.56,29.9,24.3
18,18,1027A,117.157,38.9194,团泊洼(对照点),天津,31.46,50.88,62.64,87.0,110.14,131.94,118.23,102.66,88.54,52.9,30.52,25.82
19,19,1029A,114.4422,38.0444,职工医院,石家庄,27.09,53.14,65.23,84.99,101.8,129.11,105.71,86.0,82.52,44.63,26.79,22.7
20,20,1030A,114.6063,38.0266,高新区,石家庄,29.55,48.66,63.63,78.43,104.49,135.83,109.44,86.92,85.11,44.83,28.91,23.42
21,21,1031A,114.4898,38.1328,西北水源,石家庄,27.64,52.22,64.43,87.24,108.16,141.84,114.83,96.26,80.19,43.14,26.86,21.63
22,22,1032A,114.4586,38.0058,西南高教,石家庄,24.68,46.17,56.6,76.65,91.38,124.92,100.24,80.73,80.05,40.93,24.68,19.53
