,Unnamed: 0,site_code,lon,lat,site_name,city,2015年,2016年,2017年,2018年,2019年,2020年,2021年,2022年
451,451,1791A,124.902,46.408,红岗区,大庆,41.55,32.24,29.85,24.23,24.12,25.8,23.25,22.1
452,452,1794A,118.3606,31.3519,监测站,芜湖,58.5,54.27,46.61,46.92,43.32,34.15,34.88,35.42
453,453,1795A,118.3714,31.4134,科创中心,芜湖,55.5,56.19,48.27,51.42,46.02,36.5,36.06,35.67
454,454,1796A,118.3673,31.3131,四水厂,芜湖,59.47,48.84,51.41,50.48,43.58,34.3,34.57,34.13
455,455,1798A,118.5092,31.6837,湖东路四小,马鞍山,55.31,44.44,46.92,43.11,39.77,33.83,32.65,33.48
456,456,1799A,118.5024,31.6449,开发区,马鞍山,62.59,46.53,47.14,43.89,42.08,33.87,32.82,33.95
457,457,1800A,118.5228,31.7231,慈湖,马鞍山,65.25,56.13,57.79,48.52,47.92,40.46,39.95,38.43
458,458,1802A,118.6245,31.7241,濮塘(对照点),马鞍山,63.35,54.98,47.72,51.03,39.95,34.33,31.63,28.59
459,459,1803A,115.9872,29.6815,十里,九江,54.91,49.19,49.78,42.73,46.34,40.03,35.5,31.95
460,460,1804A,115.9584,29.7046,茅山头,九江,49.59,52.74,50.1,40.62,44.56,36.32,34.83,32.74
461,461,1805A,115.9877,29.7295,西园,九江,50.92,51.3,49.97,46.35,53.1,42.2,34.87,34.02
462,462,1806A,116.0172,29.6547,五七二七厂,九江,40.11,40.48,41.21,36.74,39.87,34.13,29.69,27.94
463,463,1808A,115.9114,29.6038,综合工业园,九江,57.84,53.58,49.77,41.23,44.13,36.48,33.1,33.19
464,464,1809A,116.0721,29.7535,石化总厂,九江,51.39,54.95,52.13,44.81,48.96,39.52,32.45,31.16
465,465,1810A,115.9773,29.5698,庐山气象台(对照点),九江,24.81,27.05,27.47,18.95,22.8,20.46,15.25,16.8
466,466,1812A,112.3931,34.6516,市委党校,洛阳,71.75,76.42,78.76,62.96,61.63,50.49,42.58,45.48
467,467,1814A,112.4657,34.6871,豫西宾馆,洛阳,74.76,76.32,71.62,62.72,66.18,52.28,46.42,50.05
468,468,1815A,112.494,34.6886,河南林校,洛阳,71.08,77.89,78.92,56.73,62.73,53.6,46.2,46.88
469,469,1816A,112.3844,34.623,开发区管委会,洛阳,74.79,78.29,74.81,54.62,59.92,48.21,43.39,46.3
470,470,1817A,112.4267,34.6258,市委新办公区,洛阳,73.6,76.06,69.75,62.95,57.68,48.01,43.29,46.72
471,471,1820A,114.361,36.0681,银杏小区,安阳,95.66,83.73,80.36,72.35,69.11,60.67,49.68,52.69
472,472,1826A,114.2885,34.7965,世纪星幼儿园,开封,75.21,69.57,68.03,64.29,59.73,53.11,46.84,50.17
473,473,1828A,113.2269,35.2127,市环保局,焦作,77.63,79.38,76.29,64.89,61.68,55.21,46.26,50.35
474,474,1834A,113.182,33.774,平顶山工学院,平顶山,78.62,70.18,68.89,64.38,61.52,54.78,47.73,49.62
475,475,1835A,111.1922,34.7752,市政府,三门峡,69.85,60.62,58.49,56.5,54.61,49.97,45.21,46.77
476,476,1836A,111.1587,34.7942,开发区,三门峡,75.22,68.51,64.42,60.14,58.62,46.84,42.71,46.83
477,477,1840A,111.2992,30.6981,白龙岗,宜昌,70.0,63.9,59.98,52.43,52.64,40.59,39.86,37.02
478,478,1841A,111.3549,30.6465,伍家岗,宜昌,76.96,65.83,60.56,51.72,54.3,43.59,39.88,39.75
479,479,1842A,111.2628,30.6961,点军区,宜昌,66.07,61.56,56.45,52.95,51.5,40.39,39.81,38.75
480,480,1843A,111.3275,30.7819,夷陵区,宜昌,69.04,58.25,55.86,50.29,51.62,40.61,39.68,37.0
481,481,1844A,112.2494,30.3197,市图书馆,荆州,68.39,56.94,55.57,46.12,43.94,35.65,33.57,41.45
