,Unnamed: 0,site_code,lon,lat,site_name,city,2015年,2016年,2017年,2018年,2019年,2020年,2021年,2022年
0,0,1001A,116.3621,39.8784,万寿西宫,北京,59.2,57.11,53.53,55.09,57.32,56.74,53.52,62.12
1,1,1002A,116.2202,40.2915,定陵(对照点),北京,71.23,66.78,69.7,68.13,68.0,66.89,61.71,72.55
2,2,1003A,116.4174,39.9289,东四,北京,55.93,56.27,54.91,61.25,62.8,63.76,57.77,67.71
3,3,1004A,116.4072,39.8863,天坛,北京,60.4,54.88,52.87,56.12,56.95,57.75,54.01,58.45
4,4,1005A,116.462,39.9365,农展馆,北京,61.46,59.05,58.87,59.92,60.09,60.32,54.41,62.37
5,5,1006A,116.3392,39.9295,官园,北京,56.86,53.99,57.06,60.42,61.28,62.73,53.81,63.07
6,6,1007A,116.2878,39.9611,海淀万柳,北京,51.92,52.76,50.84,58.53,55.81,56.06,49.34,57.73
7,7,1009A,116.6275,40.3275,怀柔镇,北京,60.52,52.41,69.38,65.67,65.04,65.81,60.06,68.23
8,8,1010A,116.2296,40.217,昌平镇,北京,58.06,53.04,54.3,63.44,62.08,60.86,58.27,64.75
9,9,1011A,116.3966,39.9821,奥体中心,北京,63.96,61.0,59.03,58.25,59.26,56.52,53.35,62.55
10,10,1012A,116.184,39.9136,古城,北京,60.78,58.92,56.82,61.36,58.06,56.92,52.9,64.21
11,11,1015A,117.1444,39.1661,勤俭道,天津,44.53,48.69,62.56,65.53,68.39,63.32,59.01,69.46
12,12,1017A,117.237,39.1082,大直沽八号路,天津,46.0,54.27,66.74,69.13,70.67,65.02,61.25,69.12
13,13,1018A,117.202,39.0927,前进道,天津,44.63,52.63,61.63,69.58,70.99,68.19,61.35,68.93
14,14,1021A,117.307,39.0877,跃进路,天津,43.77,46.47,57.83,63.44,66.52,62.58,57.45,65.11
15,15,1023A,117.707,39.0343,第四大街,天津,42.1,44.75,58.27,58.22,59.85,60.07,50.81,57.14
16,16,1024A,117.457,38.8394,永明路,天津,48.58,48.69,63.7,69.47,67.43,65.73,61.91,65.46
17,17,1026A,117.764,39.1587,汉北路,天津,50.27,51.01,64.49,63.93,60.42,59.71,57.32,62.4
18,18,1027A,117.157,38.9194,团泊洼(对照点),天津,55.48,61.44,57.68,61.3,64.47,60.29,60.51,69.02
19,19,1029A,114.4422,38.0444,职工医院,石家庄,37.37,45.51,54.82,66.28,59.78,57.05,61.84,64.12
20,20,1030A,114.6063,38.0266,高新区,石家庄,36.34,45.47,61.2,64.43,62.92,58.47,62.96,63.61
21,21,1031A,114.4898,38.1328,西北水源,石家庄,55.34,50.29,58.05,58.3,60.22,56.23,57.91,61.25
22,22,1032A,114.4586,38.0058,西南高教,石家庄,33.82,39.06,49.98,58.19,55.82,54.68,58.61,60.84
23,23,1033A,114.5331,38.0178,世纪公园,石家庄,44.04,48.56,54.71,62.15,59.34,61.99,62.64,63.77
24,24,1034A,114.509,38.0457,人民会堂,石家庄,50.97,46.28,52.23,64.05,67.18,63.34,69.48,71.31
25,25,1037A,118.131,39.6363,雷达站,唐山,54.3,55.85,56.71,61.79,58.54,58.02,58.36,65.9
26,26,1040A,118.1705,39.6506,十二中,唐山,54.74,54.95,58.77,56.08,58.3,56.34,57.89,62.78
27,27,1041A,118.1869,39.622,小山,唐山,56.42,55.4,58.73,61.76,56.68,59.46,53.89,63.91
28,28,1042A,119.5134,39.8207,北戴河环保局,秦皇岛,42.97,54.95,71.44,70.48,71.39,70.57,66.35,72.18
29,29,1043A,119.7493,40.0116,第一关,秦皇岛,45.88,54.8,53.9,51.69,52.56,57.93,56.37,58.82
30,30,1044A,119.5897,39.9499,监测站,秦皇岛,36.64,48.54,62.63,65.04,60.44,62.81,60.85,65.05
31,31,1046A,119.5251,39.9041,建设大厦,秦皇岛,41.76,49.94,58.87,59.72,58.66,61.56,61.6,67.59
32,32,1048A,114.5302,36.6116,东污水处理厂,邯郸,34.25,47.1,56.22,64.96,63.16,60.77,63.9,64.19
33,33,1049A,114.4918,36.5713,矿院,邯郸,57.49,50.95,57.15,70.12,67.64,64.47,63.8,65.27
34,34,1050A,114.484,36.6133,丛台公园,邯郸,41.08,49.15,56.82,70.47,66.54,64.49,65.06,68.83
35,35,1051A,115.493,38.8632,游泳馆,保定,64.36,57.26,69.11,72.6,66.21,61.55,62.36,66.57
36,36,1053A,115.4713,38.9108,接待中心,保定,55.94,53.48,67.67,71.07,66.57,60.19,62.36,66.61
37,37,1056A,115.5086,38.8639,监测站,保定,62.72,52.29,63.98,67.4,66.4,62.36,60.14,66.53
38,38,1057A,114.8883,40.8336,人民公园,张家口,76.61,78.57,78.81,80.9,75.06,70.63,70.11,78.08
39,39,1059A,114.8687,40.8042,五金库,张家口,70.65,74.59,81.04,81.07,73.9,73.58,70.78,78.3
40,40,1060A,114.8902,40.762,世纪豪园,张家口,67.99,75.02,82.65,79.14,73.42,74.1,73.85,78.87
41,41,1063A,117.9392,40.9763,中国银行,承德,57.1,57.93,51.7,53.24,51.63,52.39,47.51,50.73
42,42,1064A,117.9503,40.928,开发区,承德,63.48,62.07,56.92,60.52,55.58,58.1,51.42,56.79
