,Unnamed: 0,site_code,lon,lat,site_name,city,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
297,297,1458A,91.0874,29.6475,区监测站,拉萨,38.97,38.84,41.23,47.0,42.76,37.82,31.17,29.6,31.09,36.76,44.1,49.79
298,298,1462A,108.882,34.2749,高压开关厂,西安,173.1,130.58,116.92,90.7,84.15,65.16,61.42,61.61,63.57,79.37,128.39,149.44
299,299,1463A,108.993,34.2629,兴庆小区,西安,158.46,117.73,106.21,80.51,72.75,56.59,54.42,54.97,55.0,67.71,110.04,137.64
300,300,1464A,109.06,34.2572,纺织城,西安,169.13,122.71,115.64,85.9,79.98,61.66,58.44,58.75,60.13,76.64,119.15,146.0
301,301,1465A,108.9356,34.2173,小寨,西安,162.77,119.87,110.39,82.91,77.6,59.58,55.74,56.13,56.67,71.13,118.74,138.16
302,302,1466A,108.954,34.2713,市人民体育场,西安,167.47,127.93,119.0,84.57,78.99,61.84,58.93,58.23,60.13,74.16,120.31,143.25
303,303,1467A,108.8922,34.2322,高新西区,西安,171.58,123.28,110.59,84.52,79.77,61.22,59.01,58.04,59.13,76.44,119.4,145.37
304,304,1468A,108.935,34.3474,经开区,西安,171.98,129.61,120.6,89.51,81.53,66.18,62.16,60.4,64.88,77.78,126.72,152.87
305,305,1469A,108.906,34.1546,长安区,西安,165.58,123.87,113.23,81.7,75.8,58.97,55.52,57.4,57.66,71.72,114.41,139.5
306,306,1471A,109.2186,34.3731,临潼区,西安,154.06,116.39,107.18,82.38,76.94,62.47,59.28,57.27,57.31,69.11,113.5,139.39
307,307,1473A,108.985,34.1978,曲江文化产业集团,西安,169.29,123.19,114.1,86.04,77.96,59.16,56.15,56.66,59.55,72.58,123.1,143.82
308,308,1474A,109.051,34.3213,广运潭,西安,165.97,120.21,110.97,84.8,76.97,60.2,60.02,61.58,60.81,73.86,117.37,146.55
309,309,1476A,103.631,36.1031,兰炼宾馆,兰州,105.09,92.67,109.05,93.61,87.0,66.18,62.47,58.29,61.98,72.37,107.48,117.6
310,310,1478A,103.8412,36.0726,生物制品所,兰州,89.31,82.83,105.29,92.3,86.87,63.78,60.76,55.15,57.22,67.19,97.02,101.6
311,311,1479A,103.831,36.0464,铁路设计院,兰州,94.9,88.1,102.16,87.26,81.3,61.35,58.76,55.74,58.17,68.59,99.61,107.99
312,312,1484A,105.9512,38.6016,贺兰山马莲口(对照点),银川,83.53,62.07,77.53,61.81,69.73,56.88,54.69,45.35,43.31,48.99,65.68,67.58
313,313,1491A,87.6046,43.768,收费所,乌鲁木齐,161.5,160.62,93.99,71.53,72.37,60.35,63.96,63.67,63.98,73.42,91.93,136.71
314,314,1493A,87.5525,43.8711,铁路局,乌鲁木齐,207.46,184.18,101.76,68.06,68.62,52.8,53.85,50.68,59.43,66.88,94.95,181.54
315,315,1508A,112.9433,27.8614,板塘,湘潭,113.95,81.3,68.47,62.15,59.86,43.79,43.37,47.21,61.04,70.99,77.05,105.85
316,316,1511A,112.9118,27.8403,市监测站,湘潭,116.37,87.0,72.37,65.04,60.0,41.1,40.11,43.89,58.4,70.86,82.05,108.99
317,317,1512A,112.8937,27.8728,江麓,湘潭,112.98,83.87,68.49,62.84,59.76,43.42,43.62,46.16,59.96,71.43,79.16,107.18
318,318,1518A,113.095,27.8867,株冶医院,株洲,114.05,84.27,71.59,64.72,58.96,42.46,40.71,44.41,58.7,64.76,72.02,104.19
319,319,1520A,113.143,27.8381,火车站,株洲,122.0,86.54,70.49,61.52,59.54,38.1,36.63,42.38,59.17,69.71,75.95,114.05
320,320,1524A,113.13,27.8528,市监测站,株洲,118.88,83.78,69.2,61.69,59.46,41.1,40.42,44.93,60.33,68.71,74.23,112.72
321,321,1559A,113.251,27.8336,大京风景区(对照点),株洲,103.08,73.47,56.26,51.76,49.45,33.52,31.69,36.39,49.01,56.31,57.25,87.6
322,322,1564A,112.4876,27.9164,韶山(对照点),湘潭,99.5,74.89,62.49,57.2,55.65,41.04,41.72,45.0,57.65,58.33,65.55,89.09
