,Unnamed: 0,site_code,lon,lat,site_name,city,2015年,2016年,2017年,2018年,2019年,2020年,2021年,2022年
526,526,1907A,106.1031,30.8217,南充炼油厂,南充,88.7,76.67,70.58,70.36,66.72,55.72,55.44,54.8
527,527,1908A,106.1064,30.7856,高坪区监测站,南充,88.15,86.12,72.37,72.07,65.91,60.73,59.68,54.86
528,528,1909A,106.0642,30.7636,嘉陵区环保局,南充,81.47,79.89,70.98,66.36,59.89,52.89,52.24,54.45
529,529,1910A,106.1087,30.8388,市环境监测站,南充,81.9,77.59,66.1,64.12,59.22,54.25,54.73,55.43
530,530,1911A,106.9222,27.6869,丁字口,遵义,67.49,69.02,58.86,48.38,37.8,34.24,40.34,38.84
531,531,1912A,106.9242,27.7019,凤凰山,遵义,51.06,58.94,49.98,42.32,33.45,29.35,36.04,34.5
532,532,1913A,106.8906,27.6486,忠庄,遵义,69.11,71.76,52.24,46.05,41.3,34.88,40.62,37.76
533,533,1915A,106.9178,27.72,干田坝,遵义,67.64,67.81,51.96,43.61,35.5,31.33,37.39,35.39
534,534,1916A,103.7897,25.5035,环境监测站,曲靖,48.92,53.28,50.65,47.64,39.44,39.27,40.06,38.45
535,535,1917A,103.8,25.5364,烟厂办公区,曲靖,47.09,52.59,53.07,51.03,43.78,35.11,36.92,36.16
536,536,1919A,108.673,34.3155,实验中学,咸阳,90.59,118.33,118.26,113.52,103.64,88.85,89.18,93.42
537,537,1920A,108.7233,34.3617,师范学院,咸阳,89.08,120.34,116.61,109.2,98.51,86.02,87.35,92.87
538,538,1923A,109.0697,35.0697,王益区政府,铜川,86.58,85.13,84.03,81.55,78.76,70.24,68.63,68.07
539,539,1924A,108.9344,34.9058,新区管委会,铜川,92.72,89.11,83.81,77.04,74.94,72.14,70.33,70.63
540,540,1930A,107.185,34.3063,庙沟村(对照点),宝鸡,75.23,79.17,76.85,76.79,72.79,63.86,59.24,62.24
541,541,1932A,107.1906,34.3672,三陆医院,宝鸡,82.62,94.34,90.64,88.09,83.38,77.4,75.69,80.34
542,542,1933A,107.1431,34.3547,监测站,宝鸡,87.38,93.84,91.15,81.45,77.04,69.45,65.19,71.78
543,543,1934A,107.1186,34.3739,技工学校,宝鸡,89.91,89.91,86.92,86.7,79.55,71.09,67.62,74.57
544,544,1935A,107.3906,34.3528,陈仓区环保局家属楼,宝鸡,102.16,106.99,108.13,99.17,93.77,84.91,82.45,85.34
545,545,1939A,109.4974,34.4877,日报社,渭南,88.13,114.63,113.27,103.58,93.63,80.91,79.75,87.92
546,546,1940A,109.4636,34.493,体育馆,渭南,98.22,118.81,112.58,104.29,94.46,82.87,81.98,88.46
547,547,1941A,109.4259,34.5023,高新一小,渭南,91.15,113.2,106.82,97.4,93.13,90.18,87.55,92.44
548,548,1943A,102.1725,38.5339,新川苑,金昌,74.01,72.83,66.43,71.12,52.5,54.1,68.7,71.57
549,549,1944A,102.1692,38.5167,天庆家园,金昌,87.5,82.81,75.86,80.21,61.67,58.12,68.74,68.42
550,550,1945A,98.2908,39.7711,气象局,嘉峪关,74.7,70.17,69.82,75.71,61.43,63.2,74.24,70.89
551,551,1947A,106.3394,38.817,沙湖旅游区(对照点),石嘴山,97.94,92.13,96.23,86.19,74.98,80.41,91.91,83.33
552,552,1948A,106.3668,39.0145,大武口朝阳西街,石嘴山,98.94,92.85,89.62,86.5,74.41,80.05,82.78,73.1
553,553,1949A,106.7704,39.2282,惠农南大街,石嘴山,88.32,85.7,85.66,86.24,74.34,79.01,85.14,72.29
554,554,1951A,84.895,45.6094,长征新村,克拉玛依,56.49,50.08,68.21,61.08,57.0,53.84,48.79,49.49
555,555,1952A,84.8988,45.5893,南林小区,克拉玛依,50.21,49.6,54.99,50.84,49.15,46.78,52.09,52.28
556,556,1954A,84.905,44.3396,独山子区,克拉玛依,67.58,78.15,69.12,64.18,60.17,66.25,60.06,59.46
557,557,1955A,85.6979,46.098,乌尔禾区商贸楼,克拉玛依,56.22,45.43,61.37,57.51,58.47,53.72,56.28,50.54
558,558,1957A,86.1972,41.7166,棉纺厂,巴音郭楞州,101.85,129.75,92.87,108.78,110.55,95.13,106.81,100.76
559,559,1961A,117.532,36.6868,东山小学,济南,109.53,110.22,103.77,85.84,82.89,82.08,79.46,71.23
560,560,2054A,114.1099,32.1059,平桥分局,信阳,102.95,87.47,83.17,85.93,81.35,66.47,67.34,66.23
561,561,2064A,113.9956,32.1271,南湾水厂,信阳,89.99,75.11,74.65,77.83,70.66,60.27,61.28,63.15
562,562,2065A,114.0775,32.1195,市酿酒公司,信阳,106.58,86.06,82.5,80.77,70.82,61.47,61.6,63.5
563,563,2066A,114.0609,32.1399,审计局,信阳,101.98,91.14,88.43,85.89,75.77,66.55,68.54,68.25
564,564,2067A,114.6613,33.6128,市环境监测站,周口,119.16,103.74,94.09,98.06,92.53,78.7,76.47,76.17
565,565,2068A,114.6758,33.6347,周口师范,周口,112.48,98.03,92.69,92.9,91.49,80.36,76.98,76.25
566,566,2069A,114.6546,33.5979,市运管处,周口,112.1,97.36,94.03,95.26,89.02,79.13,76.02,75.74
567,567,2070A,114.6369,33.6406,川汇区环保局,周口,109.27,98.36,98.12,99.93,90.41,81.25,78.81,76.14
568,568,2160A,112.85,35.5051,自来水公司,晋城,93.58,95.42,105.32,98.44,94.43,82.61,74.23,71.13
569,569,2161A,112.8318,35.4936,白云商贸,晋城,87.22,92.27,100.88,101.23,96.98,86.54,78.04,71.7
570,570,2162A,112.8508,35.4887,市环保局,晋城,93.25,95.08,99.9,98.45,93.38,82.08,77.11,72.71
571,571,2163A,112.8676,35.4897,技术学院,晋城,90.68,92.21,101.67,99.65,92.67,84.56,77.59,71.1
