,Unnamed: 0,site_code,lon,lat,site_name,city,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
290,290,1444A,106.694,26.5161,中院村,贵阳,34.19,52.19,56.13,62.83,62.15,51.21,48.48,53.64,54.74,48.72,36.54,36.8
291,291,1446A,106.7164,26.5699,新华路,贵阳,36.2,55.24,60.5,69.07,68.67,56.31,53.72,58.37,61.07,54.76,40.03,41.32
292,292,1450A,102.8204,24.8886,呈贡新区,昆明,53.78,75.72,92.46,90.65,85.41,57.23,49.8,55.81,49.3,43.57,44.53,43.0
293,293,1452A,102.7252,25.0902,龙泉镇,昆明,38.95,58.63,75.16,79.48,80.78,58.09,48.07,51.72,45.4,38.97,33.01,30.96
294,294,1453A,102.7266,25.0375,东风东路,昆明,42.51,60.85,77.31,83.06,78.53,53.31,49.21,53.37,47.21,41.88,39.41,35.86
295,295,1454A,102.6742,25.0669,金鼎山,昆明,40.07,60.98,78.52,83.59,80.44,53.69,47.54,52.41,44.71,39.04,34.9,33.09
296,296,1457A,91.1221,29.6747,市环保局,拉萨,57.96,68.13,80.0,93.85,105.64,94.4,79.44,66.67,63.97,58.94,51.21,48.01
297,297,1458A,91.0874,29.6475,区监测站,拉萨,65.04,77.5,89.88,102.33,109.82,101.47,83.68,73.23,71.32,67.11,56.57,53.75
298,298,1459A,91.1774,29.6541,西藏大学,拉萨,63.91,71.63,81.11,101.71,112.57,105.83,86.92,74.85,73.52,68.95,60.63,57.42
299,299,1461A,91.0834,29.6292,拉萨火车站,拉萨,65.48,74.03,89.86,102.63,115.62,104.75,85.46,72.25,71.57,72.47,58.64,53.19
300,300,1462A,108.882,34.2749,高压开关厂,西安,27.74,43.04,44.53,56.34,72.6,87.44,90.89,80.96,57.71,28.42,20.65,20.97
301,301,1463A,108.993,34.2629,兴庆小区,西安,24.77,41.45,41.64,52.78,68.14,86.9,88.55,77.43,56.42,27.88,19.78,19.29
302,302,1464A,109.06,34.2572,纺织城,西安,19.15,32.68,37.01,46.71,61.54,78.97,77.1,67.87,48.76,22.5,15.91,14.63
303,303,1465A,108.9356,34.2173,小寨,西安,22.71,36.71,37.9,50.51,70.2,89.52,88.16,81.47,56.81,28.26,17.73,18.57
304,304,1466A,108.954,34.2713,市人民体育场,西安,22.7,36.69,40.89,52.12,68.95,84.76,80.5,76.05,53.02,25.54,17.42,16.99
