,Unnamed: 0,site_code,lon,lat,site_name,city,2015年,2016年,2017年,2018年,2019年,2020年,2021年,2022年
363,363,1618A,118.3429,35.0532,沂河小区,临沂,134.32,116.57,128.11,117.64,121.57,125.08,118.28,125.36
364,364,1619A,118.295,35.0583,鲁南制药厂,临沂,132.88,119.45,133.57,132.01,132.39,135.18,128.41,132.6
365,365,1620A,118.2794,34.9976,新光毛纺厂,临沂,132.12,128.6,141.37,134.59,128.98,125.4,119.95,125.96
366,366,1621A,118.3956,35.0888,河东保险公司,临沂,126.68,115.66,131.34,129.69,131.8,127.73,124.52,128.05
367,367,1625A,115.9848,36.4372,区政府,聊城,115.86,113.37,126.81,137.86,137.9,127.57,116.89,123.31
368,368,1628A,118.0062,37.3803,市环保局,滨州,102.9,102.56,127.58,144.03,129.92,136.9,124.12,139.61
369,369,1629A,118.0018,37.3617,第二水厂,滨州,71.07,99.68,122.44,144.58,138.95,126.75,124.32,126.41
370,370,1630A,117.9776,37.393,北中新校,滨州,118.35,89.17,126.76,141.5,135.04,122.07,120.83,130.03
371,371,1631A,118.0414,36.8103,人民公园,淄博,113.84,118.69,132.87,136.32,136.42,132.97,127.52,134.48
372,372,1633A,117.8525,36.4847,双山,淄博,94.59,108.07,124.45,137.62,140.85,135.49,129.03,131.56
373,373,1635A,118.3092,36.8194,莆田园,淄博,112.48,118.37,124.44,138.67,141.61,130.03,125.14,134.23
374,374,1637A,117.558,34.8438,市中区政府,枣庄,124.45,119.41,139.72,139.78,133.24,127.87,124.21,137.15
375,375,1638A,117.2852,34.7837,薛城环保局,枣庄,121.01,122.69,136.59,136.78,136.62,128.69,133.38,133.44
376,376,1639A,117.5852,34.7745,峄城区政府,枣庄,128.68,123.68,131.6,130.0,131.74,130.78,128.23,134.16
377,377,1640A,117.7276,34.5578,台儿庄区环保局,枣庄,107.86,112.97,123.2,126.36,127.88,124.22,127.6,129.94
