,Unnamed: 0,site_code,lon,lat,site_name,city,2015年,2016年,2017年,2018年,2019年,2020年,2021年,2022年
654,654,2373A,114.3956,27.7844,市石油公司,宜春,48.48,79.54,78.95,64.34,58.3,51.69,55.41,47.64
655,655,2374A,114.3703,27.7914,市气象局,宜春,51.31,78.51,73.21,63.04,58.93,52.3,57.03,47.35
656,656,2375A,114.4013,27.8074,市广电局,宜春,76.59,80.68,77.7,64.92,59.55,51.52,54.61,47.22
657,657,2377A,116.3544,27.9831,市站,抚州,61.62,64.3,68.08,60.68,58.47,46.7,48.46,42.25
658,658,2378A,116.3565,27.963,血防站,抚州,64.06,63.54,63.15,53.16,53.35,45.19,48.54,43.11
659,659,2379A,116.3564,28.0007,采茶剧团,抚州,57.18,61.56,70.48,62.63,54.26,44.44,46.67,41.37
660,660,2380A,116.385,27.9647,医学分院,抚州,62.94,65.48,63.43,55.93,58.14,46.53,47.36,42.18
661,661,2382A,117.9756,28.4436,市监测站,上饶,66.08,63.93,69.67,59.02,56.13,49.54,52.08,46.18
662,662,2383A,117.9519,28.4628,凤凰光学,上饶,64.98,66.6,77.47,66.65,59.03,50.43,49.82,44.86
663,663,2385A,114.17,35.9019,市监测站,鹤壁,122.45,136.33,121.21,113.55,103.96,99.17,108.65,94.84
664,664,2386A,114.2956,35.7511,市交警支队,鹤壁,132.81,128.56,127.28,117.3,103.61,96.75,111.69,94.72
665,665,2389A,113.836,35.311,环保西院,新乡,164.28,143.5,113.45,111.64,100.02,86.72,104.34,95.42
666,666,2390A,113.884,35.272,开发区,新乡,156.33,139.53,121.53,110.99,104.93,91.02,99.69,92.13
667,667,2391A,113.883,35.303,环保东院,新乡,156.92,145.55,121.82,113.89,110.37,99.29,101.73,84.41
668,668,2392A,115.0312,35.7636,环保局,濮阳,128.92,130.52,114.48,105.36,100.13,90.41,93.07,74.91
669,669,2394A,115.0574,35.7609,油田运输公司,濮阳,143.6,135.56,123.59,109.98,106.42,93.15,98.16,89.26
670,670,2395A,115.0866,35.7754,油田物探公司,濮阳,135.75,136.47,122.01,111.66,106.75,96.14,97.14,79.78
671,671,2396A,113.8276,34.0159,监测站,许昌,131.11,118.45,104.52,112.97,91.01,76.09,76.57,84.79
672,672,2399A,114.051,33.5699,三五一五工厂,漯河,132.65,130.44,116.17,114.98,99.98,87.21,89.86,86.64
673,673,2400A,114.0055,33.5698,漯河大学,漯河,139.01,130.3,116.42,113.98,98.49,85.31,89.09,82.38
674,674,2401A,114.0138,33.5828,市水利局,漯河,131.56,131.37,120.52,111.23,98.96,85.29,87.85,82.24
675,675,2402A,114.0261,33.5698,市广电局,漯河,127.71,130.11,113.51,114.06,99.64,85.91,89.58,82.21
676,676,2406A,112.5779,33.0144,气象站,南阳,158.17,125.32,96.58,98.8,91.97,83.17,85.87,81.54
677,677,2407A,112.548,32.9692,理工学院,南阳,119.55,95.04,115.4,109.27,98.69,85.49,90.13,82.36
678,678,2408A,115.6702,34.4285,环境监测站,商丘,111.21,124.55,120.5,112.69,95.23,82.06,85.82,78.03
679,679,2409A,115.6458,34.4045,粮食局,商丘,117.06,129.16,114.82,108.73,91.69,82.62,85.2,80.93
680,680,2410A,115.6293,34.3948,睢阳区环保局,商丘,140.44,134.79,122.38,113.2,100.04,85.23,89.67,79.56
681,681,2420A,114.0189,32.9656,市一纸厂,驻马店,132.59,125.25,111.7,111.69,92.49,73.8,76.32,75.71
682,682,2421A,114.0114,33.015,市彩印厂,驻马店,125.31,113.29,102.8,103.63,83.34,68.23,70.26,76.19
683,683,2422A,113.9976,32.9771,天方二分厂,驻马店,119.46,121.46,104.59,109.83,91.31,78.62,76.26,75.53
684,684,2424A,115.0817,30.2006,陈家湾,黄石,107.92,86.38,77.8,65.82,67.34,61.82,65.75,60.34
685,685,2429A,110.78,32.6494,滨河新村,十堰,89.53,83.22,63.94,74.67,75.43,59.57,63.19,64.83
686,686,2430A,110.7258,32.6389,刘家沟,十堰,90.42,81.25,63.4,69.71,63.15,49.35,47.73,57.5
687,687,2431A,110.8839,32.5714,铁二处,十堰,91.31,81.08,68.86,73.19,67.79,54.45,57.65,56.21
688,688,2432A,112.155,32.0197,襄城运动路,襄阳,114.77,93.92,93.78,93.32,85.78,68.73,68.02,81.42
689,689,2433A,112.1392,32.0564,樊城新华路,襄阳,116.88,94.74,93.39,96.16,86.32,68.67,70.59,83.23
690,690,2434A,112.1825,32.1142,高新管委会,襄阳,108.69,99.24,95.6,97.47,88.9,69.92,70.28,81.98
691,691,2436A,114.8938,30.3994,市政府,鄂州,87.09,78.7,76.16,65.93,69.48,61.45,70.61,61.7
692,692,2437A,114.8989,30.3714,赵家坝,鄂州,107.14,87.9,82.99,67.18,70.32,61.91,66.67,60.07
693,693,2443A,113.9153,30.9285,文化路,孝感,114.58,72.72,76.31,69.86,71.7,56.05,58.2,67.29
694,694,2446A,114.9028,30.4742,职工中心,黄冈,86.47,75.81,82.26,68.86,73.66,59.99,61.31,64.78
695,695,2447A,114.3175,29.8142,森林公园(对照点),咸宁,84.02,71.94,61.28,55.61,49.84,39.06,39.42,38.21
696,696,2449A,114.2936,29.8566,咸安区政府,咸宁,94.14,83.88,69.6,60.36,59.16,46.81,46.92,45.42
697,697,2451A,113.3583,31.7275,市委党校,随州,110.76,92.87,81.48,79.34,80.12,69.49,71.51,61.55
698,698,2452A,113.3833,31.6908,市林业局,随州,91.07,81.1,67.99,67.24,63.95,52.42,56.85,53.42
699,699,2453A,113.3983,31.7308,市立交桥水厂,随州,105.3,90.11,81.34,72.34,66.7,57.6,62.06,57.67
700,700,2454A,109.4978,30.2981,湖北民院,恩施土家族苗族自治州,77.15,72.66,63.77,58.26,59.25,44.21,47.99,47.92
701,701,2455A,109.4707,30.2798,州电力总公司,恩施土家族苗族自治州,76.89,68.1,63.8,58.28,57.02,47.29,51.36,45.03
702,702,2456A,112.5003,26.9167,原169医院(对照点),衡阳,75.03,68.65,61.74,61.76,63.0,53.32,53.04,48.0
703,703,2457A,112.6194,26.9258,衡阳化工总厂,衡阳,96.56,86.58,72.01,69.51,69.94,56.72,58.38,52.08
704,704,2458A,112.6211,26.8956,珠晖区环保局,衡阳,81.34,76.82,70.85,66.86,64.17,52.58,54.79,46.81
705,705,2459A,112.6197,26.8733,市委党校,衡阳,77.54,71.94,72.74,67.68,63.3,51.54,53.42,47.29
706,706,2460A,112.6006,26.8919,市监测站,衡阳,88.71,79.66,69.93,65.47,64.22,52.65,55.38,53.12
707,707,2461A,112.5664,26.9056,真空机电公司,衡阳,82.81,78.77,74.1,66.41,65.68,53.17,55.07,48.36
708,708,2465A,111.4503,27.2537,市罐头厂,邵阳,87.31,78.29,80.48,69.18,61.03,51.12,54.02,48.05
709,709,2466A,111.4328,27.2272,市环保局,邵阳,84.02,74.55,74.24,62.1,56.12,50.51,53.33,47.58
710,710,2468A,112.3458,28.5808,市环保局,益阳,87.76,81.08,85.11,72.81,66.66,56.72,51.62,54.38
711,711,2469A,112.3437,28.5531,市特殊教育学校,益阳,98.87,91.1,84.73,77.99,75.13,63.43,57.67,60.92
712,712,2470A,112.3347,28.6047,资阳区政务中心,益阳,86.0,77.75,67.84,56.33,70.68,55.95,51.66,55.43
713,713,2473A,113.0116,25.8226,市职中,郴州,92.74,76.94,74.77,60.63,53.31,38.33,39.58,40.81
714,714,2474A,113.0161,25.8001,兴隆步行街,郴州,79.0,75.79,77.17,72.33,51.09,40.3,42.4,39.28
715,715,2475A,113.0383,25.8071,市审计局,郴州,77.65,69.45,67.57,57.23,51.88,41.47,42.86,39.74
716,716,2477A,111.6217,26.2081,零陵南津渡(对照点),永州,76.43,69.15,60.69,60.58,50.3,47.52,45.11,43.16
717,717,2479A,111.6236,26.2331,零陵区环保局,永州,73.0,71.45,66.45,66.99,58.86,48.87,46.87,46.37
718,718,2481A,111.5989,26.4519,冷水滩区环保局,永州,77.53,76.45,74.34,74.45,59.12,50.18,52.11,49.8
719,719,2482A,109.5981,27.5721,林科所(对照点),怀化,73.21,63.84,61.57,50.15,50.74,32.48,33.5,33.6
720,720,2483A,109.9453,27.5444,河西地税局,怀化,87.54,69.16,69.37,65.0,59.97,45.1,42.36,38.87
721,721,2484A,109.9781,27.5342,市四医院,怀化,88.89,80.42,77.8,66.03,67.52,55.54,48.55,42.57
722,722,2485A,109.9972,27.5578,监测楼,怀化,98.72,87.21,91.95,81.11,70.34,56.62,59.89,46.89
723,723,2486A,110.0394,27.583,市委党校,怀化,101.18,83.63,92.53,80.33,67.52,53.91,54.44,50.63
724,724,2489A,112.0194,27.7314,市委党校,娄底,88.61,78.17,73.55,69.12,68.1,48.93,51.22,49.66
725,725,2491A,111.9892,27.7044,市政府,娄底,90.36,71.89,63.58,70.72,71.09,52.38,57.49,49.46
726,726,2493A,109.7325,28.3169,州政府,湘西州,70.5,67.99,68.12,55.99,47.27,38.12,37.06,35.16
727,727,2495A,111.3014,23.4832,市逸夫小学,梧州,53.32,56.86,60.43,58.62,49.12,46.22,50.1,52.54
728,728,2497A,111.247,23.4189,龙圩,梧州,68.25,64.59,69.39,68.3,55.84,53.71,59.36,52.06
729,729,2498A,111.2711,23.4835,龙新,梧州,66.02,61.81,60.69,64.01,52.43,50.6,57.16,53.64
730,730,2499A,108.3411,21.6158,沙万,防城港,52.32,50.09,48.75,48.74,47.01,42.98,45.29,39.16
731,731,2500A,108.3514,21.7731,防城档案局,防城港,51.55,47.24,48.64,48.77,51.3,44.99,49.88,45.39
732,732,2501A,108.3506,21.6414,大海花园,防城港,48.22,41.86,43.2,45.56,44.42,38.16,39.96,34.63
733,733,2502A,108.6236,21.9667,市环保站,钦州,60.42,56.92,56.65,53.26,48.97,42.1,46.48,41.13
734,734,2503A,108.6549,21.9481,沙埠小学,钦州,56.64,53.35,51.62,51.91,51.94,40.76,46.95,42.09
735,735,2504A,108.5989,21.7431,港区一小,钦州,58.92,57.53,59.93,55.09,53.87,48.83,57.91,51.68
736,736,2506A,109.6047,23.0666,江南子站,贵港,67.02,54.95,68.9,67.22,59.49,51.94,57.26,48.3
737,737,2507A,109.6014,23.0948,贵城子站,贵港,59.55,55.87,65.14,61.97,55.62,48.99,51.77,43.47
738,738,2508A,109.5669,23.1065,荷城子站,贵港,68.96,61.97,66.42,60.16,53.23,46.25,48.61,43.33
739,739,2509A,110.1106,22.7019,寒山水库(对照点),玉林,47.29,41.05,51.39,48.96,42.17,36.81,41.19,43.26
740,740,2510A,110.1675,22.6411,市监测站,玉林,58.18,54.53,59.54,58.47,53.43,45.24,46.23,43.57
741,741,2511A,110.1433,22.6164,南江一中,玉林,58.65,54.88,62.75,63.98,60.01,47.03,51.67,48.88
742,742,2512A,106.6103,23.9011,市监测站,百色,65.81,59.17,60.76,56.04,48.57,48.52,50.64,45.91
743,743,2513A,106.6538,23.8859,市中心血站,百色,71.02,66.52,70.07,64.22,53.76,48.83,51.92,46.38
744,744,2514A,111.5264,24.4172,环保小区,贺州,61.56,53.28,67.1,58.62,48.89,43.54,45.76,44.51
745,745,2515A,111.5608,24.4078,政协大楼,贺州,59.72,56.54,65.0,55.16,49.26,43.3,44.73,42.73
746,746,2517A,108.0497,24.6947,市环保站,河池,72.74,53.76,61.25,57.82,40.62,38.62,40.85,37.34
747,747,2518A,108.0983,24.6989,市疾控中心,河池,67.0,58.72,60.82,61.19,56.78,48.37,57.1,53.36
748,748,2520A,109.2203,23.7256,来宾技工学校,来宾,66.7,57.66,70.21,64.62,55.52,48.25,54.36,49.27
749,749,2521A,107.3476,22.4136,市环保局江州分局,崇左,60.27,47.59,49.11,52.65,57.48,52.71,52.27,42.23
750,750,2522A,107.3702,22.3707,城南新区,崇左,52.92,56.45,49.79,48.91,48.23,43.07,48.17,39.98
